,Frequency,Feature
0,6.106544195932881,SmartScreen_ExistsNotSet
1,4.1873252479569745,Wdft_IsGamer
2,3.1172939361852117,Census_MDC2FormFactor_Notebook
3,2.6951403844347075,Census_HasOpticalDiskDrive
4,2.6718277868665794,SmartScreen_off
5,2.6559091395477106,SmartScreen_RequireAdmin
6,2.547656061065249,Census_MDC2FormFactor_Desktop
7,2.2821492889251154,EngineVersion_1.1.15100.1
8,2.0812630357101956,EngineVersion_1.1.15200.1
9,1.6389665461622536,Census_OSVersion_10.0.17134.228
10,1.6358529230704644,Census_OSVersion_10.0.16299.431
11,1.4606448222177297,Census_OSVersion_10.0.17134.165
12,1.4453447498190806,Census_MDC2FormFactor_Convertible
13,1.23629577630876,Census_OSVersion_10.0.17134.112
14,1.1769678175189229,AV_states_3_1
15,1.165907015750934,AV_states_10_1
16,1.1638851746268513,Census_OSVersion_10.0.16299.547
17,1.1378778089965245,Census_OSVersion_10.0.16299.371
18,1.111176879826621,Census_IsAlwaysOnAlwaysConnectedCapable
19,1.072906296369847,AV_states_7_1
20,1.0568236232090682,AV_states_16_1
21,1.0391072735754379,AV_states_12_1
22,1.0253000834616017,AV_states_9_1
23,1.0074174134344713,AV_states_11_1
24,0.9758652274538568,Processor_x64
25,0.9694321959542461,AV_states_15_1
26,0.9677335569660156,AV_states_6_1
27,0.9653863463487065,Census_OSVersion_10.0.16299.492
28,0.9589684243382177,Census_OSVersion_10.0.17134.285
29,0.9578102185300814,Census_OSVersion_10.0.10586.1176
30,0.957676765034474,Census_OSVersion_10.0.10240.17443
31,0.9576751863304107,AV_states_2_1
32,0.949123369674139,Census_OSVersion_10.0.16299.125
33,0.9445376323364825,AV_states_8_1
34,0.933332271060913,AV_states_14_1
35,0.9239017594768955,EngineVersion_1.1.14901.4
36,0.9121580311601165,Census_OSVersion_10.0.16299.611
37,0.9053627560367218,Census_OSVersion_10.0.14393.2189
38,0.9047520615574121,Processor_x86
39,0.8833444802253627,EngineVersion_1.1.15000.2
40,0.8779639216726521,AV_states_17_1
41,0.8688524097079258,AV_states_4_1
42,0.8505465880151459,AV_states_13_1
43,0.8485360549444386,Census_OSVersion_10.0.16299.309
44,0.8005546985494119,RtpStateBitfield
45,0.7885686453306109,Census_OSVersion_10.0.17134.191
46,0.7745733856125109,AV_states_5_1
47,0.7679526126201559,Census_IsVirtualDevice
48,0.736386905027641,Census_MDC2FormFactor_Detachable
49,0.6098851511369069,Census_OSVersion_10.0.15063.1206
50,0.5833566119500564,Census_OSVersion_10.0.16299.192
51,0.5634795316253304,EngineVersion_1.1.14600.4
52,0.5589752635227792,Census_OSVersion_10.0.17134.137
53,0.5552270096190569,Census_OSVersion_10.0.16299.248
54,0.5543240450671708,Census_MDC2FormFactor_PCOther
55,0.5420386363158812,EngineVersion_1.1.14800.3
56,0.5263083791013732,Census_OSVersion_10.0.16299.15
57,0.5219551827708494,Census_OSVersion_10.0.15063.1266
58,0.48574785931720527,SmartScreen_Warn
59,0.4828980905814224,Census_OSVersion_10.0.15063.1088
60,0.47456797917957566,EngineVersion_1.1.15300.6
61,0.4486679938721011,Census_OSVersion_10.0.17134.167
62,0.42875029477054855,Census_OSVersion_10.0.15063.1155
63,0.42287195089732965,Census_OSVersion_10.0.17134.48
64,0.4220758622868362,Census_OSVersion_10.0.17134.286
65,0.41464196718797275,Census_OSVersion_10.0.14393.0
66,0.40573279038319054,Census_OSVersion_10.0.17134.1
67,0.4056885794401593,Census_OSVersion_10.0.17134.81
68,0.4013473701612764,Census_OSVersion_10.0.17134.254
69,0.40128169313333073,Census_OSVersion_10.0.15063.786
70,0.3879387666463018,Census_OSVersion_10.0.14393.693
71,0.3784890694427839,EngineVersion_1.1.14104.0
72,0.37017061155171566,Census_OSVersion_10.0.10586.164
73,0.34746456972656503,Census_OSVersion_10.0.14393.2214
74,0.3411738390661585,Census_OSVersion_10.0.14393.2007
75,0.32885190914752854,Census_OSVersion_10.0.15063.0
76,0.3243782037467655,EngineVersion_1.1.15300.5
77,0.3218780219914629,Census_OSVersion_10.0.15063.1029
78,0.3176232828025575,Census_OSVersion_10.0.15063.483
79,0.31417484614998825,EngineVersion_1.1.14500.5
